iteration,tot_theta_change,win,reward,epsilon
1.0,0.045484845538717844,0.0,-9.0,0.0
2.0,0.0871450411887755,0.0,-9.0,0.0
3.0,0.12903457737464208,0.0,-8.0,0.0
4.0,0.16893937601564868,0.0,-9.0,0.0
5.0,0.2120864046551421,0.0,-8.0,0.0
6.0,0.25271528901611534,0.0,-8.0,0.0
7.0,0.2906941670510704,0.0,-9.0,0.0
8.0,0.32780328305639456,0.0,-9.0,0.0
9.0,0.3658842984977403,0.0,-8.0,0.0
10.0,0.38535422489079824,0.0,-9.0,0.0
11.0,0.42274552703149393,0.0,-8.0,0.0
12.0,0.426287636531183,0.0,-9.0,0.0
13.0,0.4322225401530647,0.0,-9.0,0.0
14.0,0.4394446902987958,0.0,-9.0,0.0
15.0,0.47503188446795863,0.0,-9.0,0.0
16.0,0.4797817420046852,0.0,-9.0,0.0
17.0,0.48808240116210233,0.0,-6.0,0.0
18.0,0.4905904507893853,0.0,-9.0,0.0
19.0,0.5057338222014909,0.0,-8.0,0.0
20.0,0.5118210224063404,0.0,-9.0,0.0
21.0,0.5143701526090031,0.0,-7.0,0.0
22.0,0.5213790665007494,0.0,-8.0,0.0
23.0,0.5048780171410278,1.0,0.0,0.0
24.0,0.5149737662231889,0.0,-9.0,0.0
25.0,0.49805196379798106,1.0,0.0,0.0
26.0,0.4838756734307255,1.0,0.0,0.0
27.0,0.47929601004863426,0.0,-8.0,0.0
28.0,0.46829764252866224,1.0,0.0,0.0
29.0,0.4894004920887292,0.0,-9.0,0.0
30.0,0.4917560545079514,0.0,-8.0,0.0
31.0,0.5051237063216916,0.0,-8.0,0.0
32.0,0.5147838903741015,1.0,0.0,0.0
33.0,0.517198814569183,0.0,-5.0,0.0
34.0,0.5277747204277451,0.0,-6.0,0.0
35.0,0.5465630265854543,0.0,-9.0,0.0
36.0,0.5510689348201957,0.0,-7.0,0.0
37.0,0.5722950714852897,0.0,-8.0,0.0
38.0,0.5665088872703478,1.0,0.0,0.0
39.0,0.5916362273905876,0.0,-9.0,0.0
40.0,0.5980305922056439,0.0,-7.0,0.0
41.0,0.5974084874789076,0.0,-8.0,0.0
42.0,0.5913619075754383,0.0,-6.0,0.0
43.0,0.6070739172062392,0.0,-8.0,0.0
44.0,0.6201415829949307,0.0,-7.0,0.0
45.0,0.6061783779275629,0.0,-6.0,0.0
46.0,0.6121457062380982,1.0,0.0,0.0
47.0,0.6171871060761696,0.0,-8.0,0.0
48.0,0.5937282041586014,1.0,0.0,0.0
49.0,0.5880837424950812,0.0,-9.0,0.0
50.0,0.5604289572222324,1.0,0.0,0.0
51.0,0.5662716190765946,0.0,-6.0,0.0
52.0,0.5648768643298572,0.0,-6.0,0.0
53.0,0.582350804556537,0.0,-7.0,0.0
54.0,0.57809472925577,1.0,0.0,0.0
55.0,0.5869511470315988,0.0,-8.0,0.0
56.0,0.5839780528682371,0.0,-7.0,0.0
57.0,0.5877190590176458,1.0,0.0,0.0
58.0,0.5865442811149106,1.0,0.0,0.0
59.0,0.5715702122155406,1.0,0.0,0.0
60.0,0.5694774177871049,0.0,-8.0,0.0
61.0,0.5703583684619568,0.0,-2.0,0.0
62.0,0.5764178068259144,0.0,-8.0,0.0
63.0,0.594834205016788,0.0,-9.0,0.0
64.0,0.5966427257015904,0.0,-1.0,0.0
65.0,0.604633367744303,0.0,-9.0,0.0
66.0,0.6012683205251543,0.0,-7.0,0.0
67.0,0.5982728771225458,0.0,-9.0,0.0
68.0,0.5744328312237996,0.0,-4.0,0.0
69.0,0.5821323010206163,0.0,-5.0,0.0
70.0,0.6026757710785837,0.0,-9.0,0.0
