0 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 13 24 0 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 12 -1 8 14 20 17 4 1 23 -1 16 27 36 29 9 4 39 58 0 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 12 38 8 14 20 17 4 1 23 57 16 27 36 29 9 4 0
3 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 -1 -1 20 -1 4 -1 12 -1 -1 -1 36 -1 9 -1 23 -1 9 17 3 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 8 -1 20 -1 4 -1 12 -1 16 -1 36 -1 9 -1 23 -1 15 28 3 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 8 14 20 -1 4 -1 12 -1 16 27 36 -1 9 -1 23 -1 -5
1 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 -1 -1 -1 -1 12 -1 -1 -1 -1 -1 -1 -1 23 -1 -1 -1 21 37 1 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 20 -1 4 1 12 -1 8 14 36 -1 9 4 23 -1 16 27 18 30 1 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 20 17 4 1 12 -1 8 14 36 29 9 4 23 -1 16 27 -5
2 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 -1 -1 12 -1 -1 -1 20 -1 -1 -1 23 -1 -1 -1 36 -1 5 10 2 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 4 -1 12 -1 8 14 20 -1 9 -1 23 -1 16 27 36 -1 2 5 2 3 4 9 5 6 5 11 8 2 4 8 11 3 9 0 6 10 12 10 3 5 4 1 4 2 5 2 3 4 3 4 2 5 0 5 1 1 3 4 1 12 -1 8 14 20 -1 9 4 23 -1 16 27 36 -1 -4
1 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 -1 -1 -1 -1 1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 10 19 1 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 9 -1 18 7 1 -1 20 11 18 -1 33 12 3 -1 36 22 4 8 1 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 9 3 18 7 1 -1 20 11 18 7 33 12 3 -1 36 22 -4
2 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 -1 -1 1 -1 -1 -1 9 -1 -1 -1 3 -1 -1 -1 18 -1 19 34 2 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 18 -1 1 -1 20 11 9 -1 33 -1 3 -1 36 22 18 -1 8 13 2 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 18 7 1 -1 20 11 9 -1 33 12 3 -1 36 22 18 -1 1
0 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2 4 0 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 1 -1 20 11 9 3 18 7 3 -1 36 22 18 7 33 12 24 36 0 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 1 23 20 11 9 3 18 7 3 35 36 22 18 7 33 12 -3
3 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 -1 -1 9 -1 18 -1 1 -1 -1 -1 18 -1 33 -1 3 -1 21 37 3 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 20 -1 9 -1 18 -1 1 -1 36 -1 18 -1 33 -1 3 -1 12 23 3 5 8 10 4 3 4 12 3 9 2 8 0 10 6 11 11 6 9 5 4 5 2 4 4 3 1 5 3 5 2 0 3 1 5 4 1 3 2 20 11 9 -1 18 -1 1 -1 36 22 18 -1 33 -1 3 -1 -3
3 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 -1 -1 0 -1 10 -1 7 -1 -1 -1 2 -1 21 -1 14 -1 14 26 3 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 13 -1 0 -1 10 -1 7 -1 25 -1 2 -1 21 -1 14 -1 17 11 3 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 13 16 0 -1 10 -1 7 -1 25 10 2 -1 21 -1 14 -1 -8
1 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 -1 -1 10 -1 -1 -1 -1 -1 -1 -1 21 -1 -1 -1 -1 -1 1 3 1 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 0 -1 10 -1 7 14 13 16 2 -1 21 -1 14 11 25 10 24 42 1 4 3 6 11 9 12 2 6 4 5 11 9 8 3 10 0 5 8 10 5 3 2 1 5 2 3 4 2 1 5 4 1 5 4 0 3 4 3 0 23 10 -1 7 14 13 16 2 41 21 -1 14 11 25 10 -6
