iteration,tot_theta_change,win,reward,epsilon
1.0,0.024940243015483123,0.0,-9.0,1.0
2.0,0.04356772514614746,0.0,-9.0,1.0
3.0,0.055553703554394776,1.0,0.0,1.0
4.0,0.0663751119138817,0.0,-9.0,1.0
5.0,0.07673922335332141,0.0,-8.0,1.0
6.0,0.10354905333376069,0.0,-7.0,1.0
7.0,0.09942595892113584,0.0,-4.0,1.0
8.0,0.12222353797670601,0.0,-9.0,1.0
9.0,0.14392979912850515,0.0,-7.0,1.0
10.0,0.160400721791219,0.0,-8.0,1.0
11.0,0.1496013568523248,0.0,-2.0,1.0
12.0,0.15635097082159338,0.0,-2.0,1.0
13.0,0.12882260242056895,1.0,0.0,1.0
14.0,0.13241809852225647,1.0,0.0,1.0
15.0,0.1546649645035844,0.0,-6.0,1.0
16.0,0.14930950668605616,0.0,-2.0,1.0
17.0,0.14280459059678408,1.0,0.0,1.0
18.0,0.13389018321660134,0.0,-7.0,1.0
19.0,0.14553152799928884,0.0,-9.0,1.0
20.0,0.16516708160696314,0.0,-7.0,1.0
21.0,0.19023825015228502,0.0,-9.0,1.0
22.0,0.19818318738609553,0.0,-9.0,1.0
23.0,0.1936687286551788,0.0,-3.0,1.0
24.0,0.2010599226808063,0.0,-8.0,1.0
25.0,0.2063435160483077,0.0,-9.0,1.0
26.0,0.19690763232604583,0.0,-5.0,1.0
27.0,0.2007328474659518,0.0,-8.0,1.0
28.0,0.2137183235025402,0.0,-7.0,1.0
29.0,0.2156831708192241,0.0,-4.0,1.0
30.0,0.2121671818619444,0.0,-1.0,1.0
31.0,0.22408758380674612,0.0,-9.0,1.0
32.0,0.2376307297774725,0.0,-8.0,1.0
33.0,0.22050214490701164,0.0,-7.0,1.0
34.0,0.2278660021976261,0.0,-9.0,1.0
35.0,0.24547940842146757,0.0,-8.0,1.0
36.0,0.24362383806028107,0.0,-2.0,1.0
37.0,0.23626766837060503,0.0,-8.0,1.0
38.0,0.2494235618380324,0.0,-8.0,1.0
39.0,0.24879260110055174,1.0,0.0,1.0
40.0,0.25111735148626746,1.0,1.0,1.0
41.0,0.2522938629498211,0.0,-9.0,1.0
42.0,0.25008311230048386,0.0,-7.0,1.0
43.0,0.25509443897403594,0.0,-8.0,1.0
44.0,0.23324389725811887,1.0,0.0,1.0
45.0,0.24558227169735675,0.0,-8.0,1.0
46.0,0.24198898062607413,0.0,-8.0,1.0
47.0,0.24480312277391258,1.0,1.0,1.0
48.0,0.23052080204337808,1.0,0.0,1.0
49.0,0.23500915377835982,0.0,-1.0,1.0
50.0,0.2449492227047861,0.0,-5.0,1.0
51.0,0.24378183797203404,0.0,-8.0,1.0
52.0,0.25088814278640675,0.0,-9.0,1.0
53.0,0.2599164656333306,0.0,-8.0,1.0
54.0,0.2567284557138928,0.0,-9.0,1.0
55.0,0.25992957982442005,0.0,-8.0,1.0
56.0,0.26892950471988813,0.0,-8.0,1.0
57.0,0.27264388088984975,0.0,-8.0,1.0
58.0,0.292255026090191,0.0,-8.0,1.0
59.0,0.28628645398518404,0.0,-4.0,1.0
60.0,0.28523200515010005,0.0,-7.0,1.0
61.0,0.2904600428878896,0.0,-9.0,1.0
62.0,0.30338993856761015,0.0,-9.0,1.0
63.0,0.2998825358472848,0.0,-9.0,1.0
64.0,0.296902061998782,0.0,-8.0,1.0
65.0,0.28672943028397396,0.0,-9.0,1.0
66.0,0.28950685527568426,0.0,-9.0,1.0
67.0,0.2778932363340176,0.0,-9.0,1.0
68.0,0.27353392789804487,0.0,-7.0,1.0
69.0,0.2938441289181955,0.0,-8.0,1.0
70.0,0.30249377928110593,0.0,-9.0,1.0
71.0,0.2863922027043118,0.0,-1.0,1.0
72.0,0.2829379244867173,0.0,-9.0,1.0
73.0,0.2894489243170921,0.0,-6.0,1.0
74.0,0.2682915268041195,1.0,1.0,1.0
75.0,0.27514833634242053,0.0,-9.0,1.0
76.0,0.2702478017684011,0.0,-8.0,1.0
77.0,0.2686160892481869,1.0,0.0,1.0
78.0,0.2687838022734867,0.0,-6.0,1.0
79.0,0.28099862332998116,0.0,-5.0,1.0
80.0,0.2931986673530004,0.0,-9.0,1.0
81.0,0.2972557356661207,0.0,-9.0,1.0
82.0,0.3141355284130641,0.0,-7.0,1.0
83.0,0.30162532349495735,1.0,0.0,1.0
84.0,0.3069988253919517,0.0,-9.0,1.0
85.0,0.310280096681955,0.0,-8.0,1.0
86.0,0.3098276448717775,0.0,-7.0,1.0
87.0,0.30890433213037494,0.0,-9.0,1.0
88.0,0.3153232941571071,0.0,-9.0,1.0
89.0,0.32258241408778376,0.0,-9.0,1.0
90.0,0.33537818485952864,0.0,-9.0,1.0
91.0,0.34263115535637023,0.0,-8.0,1.0
92.0,0.35199337281408555,0.0,-8.0,1.0
93.0,0.3521582846590327,0.0,-9.0,1.0
94.0,0.3475805693328179,0.0,-9.0,1.0
95.0,0.34597938670777056,0.0,-7.0,1.0
96.0,0.34958425444036073,0.0,-9.0,1.0
97.0,0.3402369247848746,0.0,-2.0,1.0
98.0,0.3421511090096412,0.0,-8.0,1.0
99.0,0.34203432429949576,0.0,-9.0,1.0
100.0,0.3442717551142045,0.0,-8.0,1.0
101.0,0.34339141458356165,0.0,-9.0,1.0
102.0,0.33458721869265556,1.0,0.0,1.0
103.0,0.33587657061852927,0.0,-7.0,1.0
104.0,0.3338936365372118,1.0,0.0,1.0
105.0,0.33387023487860745,0.0,-9.0,1.0
106.0,0.331801316308439,0.0,-2.0,1.0
107.0,0.33208353653896616,0.0,-6.0,1.0
108.0,0.3431330065554727,0.0,-8.0,1.0
109.0,0.34747435132781945,0.0,-7.0,1.0
110.0,0.3568712606734748,0.0,-7.0,1.0
111.0,0.36438826416287207,0.0,-1.0,1.0
112.0,0.36980898884176017,0.0,-8.0,1.0
113.0,0.3566900277630758,0.0,-9.0,1.0
114.0,0.36149113567806584,0.0,-8.0,1.0
115.0,0.37620422129100134,0.0,-7.0,1.0
116.0,0.3816446787751437,0.0,-7.0,1.0
117.0,0.38014181175782147,0.0,-2.0,1.0
118.0,0.3822905751643804,1.0,1.0,1.0
119.0,0.3732693451703007,1.0,0.0,1.0
120.0,0.3701002809398057,0.0,-9.0,1.0
121.0,0.37100641703941917,0.0,-8.0,1.0
122.0,0.37288674492847057,0.0,-6.0,1.0
123.0,0.37196358018254005,0.0,-8.0,1.0
124.0,0.3623660917111372,0.0,-9.0,1.0
125.0,0.3678544880784416,0.0,-8.0,1.0
126.0,0.3736755961751592,0.0,-9.0,1.0
127.0,0.3801382517986814,0.0,-8.0,1.0
128.0,0.3845169901831276,0.0,-7.0,1.0
129.0,0.38628112794498426,0.0,-5.0,1.0
